Accession,Age
X1001,67 
X1002,89 
X1003,66 
X1004,64 
X1005,62 
X1006,87 
X1007,73 
X1008,75 
X1009,73 
X1010,83 
X1011,82 
X1012,48 
X1013,77 
X1014,54 
X1015,63 
X1016,71 
X1017,68 
X1018,80 
X1019,92 
X1020,60 
X1021,79 
X1022,68 
X1023,93 
X1025,84 
X1026,74 
X1027,74 
X1028,76 
X1029,56 
X1030,72 
X1031,75 
X1032,79 
X1033,73 
X1034,82 
X1035,74 
X1036,79 
X1037,54 
X1039,101 
X1040,79 
X1041,84 
X1042,85 
X1043,87 
X1044,74 
X1045,77 
X1046,73 
X1047,87 
X1048,85 
X1049,88 
X1050,66 
X1051,78 
X1052,53 
X1053,76 
X1054,67 
X1055,73 
X1056,54 
X1057,73 
X1058,96 
X1059,57 
X1060,76 
X1061,47 
X1062,54 
X1063,73 
X1064,84 
X1065,62 
X1066,89 
X1067,68 
X1068,62 
X1069,79 
X1070,72 
X1071,69 
X1072,55 
X1074,73 
X1075,79 
X1076,72 
X1077,89 
X1078,79 
X1079,85 
X1080,68 
X1081,89 
X1082,73 
X1083,63 
X1085,78 
X1086,65 
X1087,65 
X1088,89 
X1090,85 
X1091,66 
X1092,76 
X1093,74 
X1095,84 
X1096,71 
X2001,49 
X2002,69 
X2003,63 
X2005,66 
X2006,85 
X2007,76 
X2008,84 
X2009,59 
X2010,70 
X2011,65 
X2012,68 
X2013,84 
X2014,75 
X2017,51 
X2018,63 
X2019,69 
X2020,78 
X2021,78 
X2022,52 
X2023,49 
X2024,53 
X2025,59 
X2026,62 
X2027,46 
X2028,68 
X2029,74 
X2030,59 
X2031,76 
X2032,54 
X2033,59 
X2034,48 
X2035,45 
X2036,62 
X2038,63 
X2039,80 
X2040,60 
X2041,71 
X2042,67 
X2043,50 
X2044,86 
X2045,70 
X2046,54 
X2047,69 
X2048,76 
X2049,58 
X2050,58 
X2051,64 
X2052,73 
X2053,49 
X2054,56 
X2055,75 
X2056,48 
X2058,81 
X2059,72 
X2060,61 
X2063,50 
X2064,69 
X2065,65 
X2066,47 
X2068,43 
X2069,55 
X2070,54 
X2071,58 
X2072,34 
X2074,65 
X2075,52 
X2076,32 
X2077,47 
X2078,54 
X2079,63 
X2080,28 
X2081,54 
X2082,59 
X2084,56 
X2085,50 
X2086,30 
