site,model,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
cg16867657,bio,0,9192.867604276114,5.199422341069294,0.0,0.7087454520020116,74.65671471781619,0.0,False,log
cg16867657,linear,1,9142.117331058564,4.169778330558984,50.75027321755033,0.29125454799798844,65.10114841970734,25.534658655342184,False,log
cg06639320,bio,0,8815.983000728123,5.281546294156215,0.0,0.8061267653141994,59.86100786083291,0.0,False,log
cg06639320,linear,1,8792.988496098646,3.6461393179743027,22.994504629475443,0.19387323468580064,62.273080826543485,8.965977055739033,False,log
cg21572722,bio,0,10816.886337923053,5.422142401153906,0.0,0.6285269695781259,82.93033649687955,0.0,False,log
cg21572722,linear,1,10812.490224761299,5.118196506206004,4.396113161754082,0.3714730304218741,82.74581958452465,7.302008176100747,False,log
cg17268658,bio,0,9383.101476096312,6.767556546288688,0.0,0.5554388901956292,69.04086935989444,0.0,False,log
cg17268658,linear,1,9380.983085702086,4.24705402483778,2.1183903942256013,0.4445611098043708,69.8064009624226,6.443190428575636,False,log
cg22454769,bio,0,7791.624467140922,7.720596999936788,0.0,0.7488565708864993,67.2847731598612,0.0,False,log
cg22454769,linear,1,7766.192504516484,4.514642589916548,25.43196262443704,0.25114342911350074,70.08580514126426,11.485011648490175,False,log
cg24724428,bio,0,9070.613055889131,3.58166562651968,0.0,1.0,56.28267364934521,0.0,False,log
cg24724428,linear,1,8925.556472356784,3.8856575816062104,145.05658353234764,0.0,61.347207491549106,12.96109921110904,False,log
cg10501210,linear,0,5620.0535379538105,2.133510162726452,0.0,1.0,51.31713848643083,0.0,False,log
cg10501210,bio,1,-5324.833807131254,25.753030560892512,10944.887345085064,0.0,479.6508484934593,455.6827483447141,True,log
