,GSM1272122,GSM1272123,GSM1272124,GSM1272125,GSM1272126,GSM1272127,GSM1272128,GSM1272129,GSM1272130,GSM1272131,GSM1272132,GSM1272133,GSM1272134,GSM1272135,GSM1272136,GSM1272137,GSM1272138,GSM1272139,GSM1272140,GSM1272141,GSM1272142,GSM1272143,GSM1272144,GSM1272145,GSM1272146,GSM1272147,GSM1272148,GSM1272149,GSM1272150,GSM1272151,GSM1272152,GSM1272153,GSM1272154,GSM1272155,GSM1272156,GSM1272157,GSM1272158,GSM1272159,GSM1272160,GSM1272161,GSM1272162,GSM1272163,GSM1272164,GSM1272165,GSM1272166,GSM1272167,GSM1272168,GSM1272169,GSM1272170,GSM1272171,GSM1272172,GSM1272173,GSM1272174,GSM1272175,GSM1272176,GSM1272177,GSM1272178,GSM1272179,GSM1272180,GSM1272181,GSM1272182,GSM1272183,GSM1272184,GSM1272185,GSM1272186,GSM1272187,GSM1272188,GSM1272189,GSM1272190,GSM1272191,GSM1272192,GSM1272193,GSM1272194,GSM1272195,GSM1272196,GSM1272197,GSM1272198,GSM1272199,GSM1272200,GSM1272201,GSM1272202,GSM1272203,GSM1272204,GSM1272205,GSM1272206,GSM1272207,GSM1272208
cg07553761,0.2198332,0.2541765,0.2295649,0.2692834,0.3093473,0.2776141,0.2395681,0.2421142,0.2743399,0.2444444,0.2701403,0.2540121,0.1991433,0.2838383,0.2647126,0.1936493,0.1942081,0.1638254,0.182174,0.1993802,0.2234342,0.1557127,0.1296955,0.1451287,0.1606587,0.2026083,0.2000447,0.1750585,0.184737,0.2591125,0.2450603,0.2456751,0.2127496,0.3312513,0.2403803,0.2236129,0.1988752,0.2372966,0.3460416,0.2285225,0.262647,0.2250196,0.2669261,0.2325002,0.1878267,0.1764015,0.174017,0.1560718,0.2308853,0.2398387,0.2018873,0.1726203,0.1818182,0.1441097,0.1737981,0.1949296,0.1263049,0.1611105,0.3329565,0.3341969,0.2671306,0.3525716,0.3562251,0.3240952,0.3047838,0.3481134,0.3473279,0.398411,0.3474591,0.3633141,0.2899536,0.2985213,0.2941381,0.2696837,0.2796972,0.2213328,0.3,0.3876506,0.2824306,0.2327052,0.2387683,0.229972,0.2351946,0.199654,0.3012573,0.208345,0.2326159
cg04416734,0.2883482,0.2815281,0.3215909,0.2377763,0.2731809,0.3078091,0.3039126,0.207616,0.296749,0.2337606,0.2268343,0.2310519,0.3458677,0.2252127,0.2256915,0.2503196,0.2524753,0.2488388,0.2535011,0.2485418,0.2289072,0.2467957,0.2350933,0.2677681,0.2256814,0.2548438,0.190765,0.2973173,0.3231755,0.2393969,0.2538216,0.2771514,0.2490352,0.2089769,0.2642372,0.2145486,0.2553542,0.2384355,0.1826845,0.218519,0.2608561,0.2150195,0.2192326,0.2170568,0.2384363,0.2479071,0.2373372,0.1892438,0.2052248,0.2156334,0.2105395,0.1928078,0.189318,0.1380611,0.2019429,0.2395736,0.2500665,0.2232329,0.2469067,0.208802,0.2144467,0.1902051,0.17794,0.1898104,0.1627237,0.2071605,0.2071803,0.1527778,0.1886712,0.1789607,0.1809479,0.2254118,0.1783961,0.2221264,0.2114037,0.1965352,0.1903647,0.1335455,0.188155,0.1558561,0.2144201,0.2002647,0.1513528,0.1501769,0.1806476,0.2045892,0.178645
cg02046143,0.1994571,0.3457207,0.3924335,0.2743217,0.3332246,0.3332597,0.3165935,0.3025233,0.280935,0.2578819,0.2279382,0.2947968,0.4146473,0.2688629,0.288073,0.3465684,0.3330307,0.2970597,0.2755127,0.2285714,0.2914687,0.2390098,0.2462428,0.2703251,0.2384636,0.2812343,0.2012336,0.3697889,0.4061358,0.3445934,0.3269269,0.4051487,0.3735474,0.256423,0.3334478,0.3605481,0.330405,0.2654754,0.2606923,0.3243575,0.2488695,0.3336664,0.3355404,0.321439,0.356572,0.3285317,0.3413695,0.3271392,0.2904367,0.2405025,0.265104,0.3384229,0.3679285,0.2654305,0.3338503,0.2826211,0.4077879,0.3225312,0.3308172,0.2586598,0.2881511,0.2595452,0.194616,0.3216638,0.2705505,0.2798881,0.229938,0.1676197,0.258323,0.1233473,0.2002924,0.2773546,0.2617438,0.3197319,0.2724197,0.3289273,0.2690339,0.157995,0.2161606,0.197851,0.2752045,0.2593211,0.1754347,0.3021555,0.2215376,0.3368964,0.2797123
cg15341124,0.267792,0.3020168,0.3535545,0.320933,0.4127605,0.3688301,0.3135335,0.3558063,0.3719159,0.3628523,0.3234953,0.3139027,0.3906542,0.3871036,0.328758,0.3684384,0.3685023,0.3166291,0.3264445,0.3405207,0.4076253,0.3165652,0.3116583,0.3063414,0.3577084,0.3250518,0.3781226,0.3179477,0.3243605,0.3177207,0.3154544,0.292734,0.3071357,0.3176123,0.3592048,0.3087779,0.2939069,0.3414351,0.3514934,0.3147622,0.3577784,0.3594355,0.2991248,0.3548779,0.292632,0.314676,0.294563,0.3290367,0.3376094,0.3509418,0.3095915,0.3735073,0.3166067,0.3254701,0.2865525,0.3559191,0.3210827,0.3020516,0.3808139,0.3611575,0.349732,0.3626345,0.3764129,0.4090909,0.3803044,0.4231927,0.3709098,0.3994625,0.4160388,0.4054533,0.3924263,0.3601021,0.3688316,0.3824072,0.3654549,0.3598028,0.4100233,0.4340793,0.4081003,0.3590416,0.3606964,0.3977269,0.3367948,0.3240062,0.3730872,0.3604072,0.3774853
cg11071401,0.1858999,0.1880077,0.2278174,0.2697044,0.3523445,0.3233309,0.2742815,0.2959804,0.3418018,0.3112848,0.2958092,0.2851701,0.2847531,0.3487004,0.2993637,0.2406537,0.2934972,0.2457766,0.2651789,0.2800279,0.34165,0.2777719,0.2472031,0.2521387,0.2913634,0.2485512,0.3373239,0.2340228,0.2571739,0.2362844,0.2247051,0.2110982,0.2658493,0.2857356,0.2858216,0.2786767,0.2659481,0.3333611,0.3065847,0.3004152,0.3696656,0.2981221,0.2625641,0.3263333,0.2596075,0.2704985,0.285153,0.2927994,0.3297741,0.3493316,0.288185,0.3477978,0.2843852,0.2798135,0.277551,0.3095728,0.2610534,0.3083697,0.3361351,0.2861483,0.287515,0.2977712,0.3290423,0.4180347,0.3398582,0.3751507,0.4126708,0.3506642,0.3206906,0.4199516,0.3357201,0.3552687,0.3237118,0.3066318,0.3275574,0.3304827,0.3759619,0.5188935,0.39803,0.306883,0.3330323,0.3782499,0.3333333,0.3187635,0.3427029,0.3083823,0.320655
cg24436906,0.1102313,0.1404668,0.1525698,0.1921249,0.249298,0.2029839,0.1793258,0.1702632,0.1688449,0.1843804,0.1504254,0.1677583,0.225406,0.208599,0.1639908,0.1569314,0.1838186,0.1496445,0.1336151,0.1649995,0.2320549,0.1396679,0.1235946,0.1363496,0.1489191,0.1342763,0.1790636,0.1247289,0.1417995,0.1723333,0.1713171,0.1256219,0.1666667,0.2158146,0.203394,0.1716006,0.1631128,0.1852851,0.2370091,0.1552986,0.2175808,0.1843683,0.1724562,0.1714742,0.167738,0.1562737,0.1561689,0.130741,0.1598314,0.1866799,0.1553518,0.1507484,0.179046,0.1510816,0.1355272,0.1939825,0.1200897,0.1973187,0.249237,0.2145474,0.1803755,0.2250644,0.2484309,0.2607799,0.2076204,0.245156,0.2398339,0.2445508,0.2100598,0.2491122,0.2394995,0.2375488,0.1768947,0.1857959,0.2030549,0.2529249,0.2094707,0.2072086,0.2392921,0.1903161,0.2085408,0.214125,0.2090875,0.1497668,0.1995053,0.1650569,0.1857347
cg25236230,0.08726721,0.08735668,0.09279279,0.05452726,0.1542201,0.1491358,0.08288577,0.09652272,0.09948573,0.08582728,0.08458512,0.1216456,0.09284627,0.1254499,0.106064,0.07717985,0.1139384,0.09958329,0.07723048,0.09451288,0.1382356,0.04979477,0.08706491,0.04821341,0.1072749,0.08881798,0.135187,0.09850746,0.07274257,0.08214765,0.07964948,0.06226524,0.1017757,0.1232562,0.09954927,0.1078882,0.08374623,0.07494228,0.1359716,0.09542761,0.1218512,0.09774175,0.1003297,0.1224963,0.09061396,0.09795953,0.08204078,0.09536935,0.109514,0.1301447,0.1003541,0.1088257,0.09898325,0.1151631,0.08572681,0.1606485,0.1018706,0.08641864,0.1510944,0.1183938,0.1020488,0.1114853,0.1291894,0.2205893,0.1067093,0.1286338,0.1593007,0.1462579,0.1368294,0.302074,0.1322295,0.1500722,0.1180915,0.1456389,0.1343347,0.1160577,0.1323123,0.1469852,0.1513761,0.1713856,0.1262372,0.1238336,0.160238,0.09501356,0.1435699,0.10205,0.116851
cg23746497,0.1172363,0.1384201,0.1906974,0.2167431,0.4763953,0.3423643,0.2398214,0.2156987,0.2864189,0.2161838,0.2303134,0.1880205,0.2989653,0.3777834,0.2371258,0.2736274,0.3706142,0.2011334,0.197522,0.2238173,0.4074374,0.2125173,0.1747368,0.131243,0.2887588,0.1932361,0.4142153,0.2016138,0.1943842,0.2108212,0.317824,0.1745387,0.2288257,0.239056,0.285998,0.1824913,0.1913876,0.2131512,0.2870354,0.2208898,0.318845,0.2553588,0.1777116,0.3049303,0.2458612,0.2949197,0.2368269,0.2765897,0.2763543,0.3220459,0.250668,0.2951914,0.2511,0.2681242,0.2171315,0.3573808,0.2474498,0.2437684,0.3505431,0.3409799,0.2514286,0.2807262,0.327804,0.4278629,0.3260439,0.3828711,0.3605062,0.2816468,0.4394951,0.4414157,0.3647425,0.3137778,0.2777472,0.3759201,0.3035982,0.3461252,0.4612499,0.4018548,0.377482,0.2923803,0.3735093,0.3308918,0.2878123,0.3387128,0.3417222,0.2357267,0.3166118
cg25078444,0.01902985,0.03254297,0.02002098,0.03057254,0.07109777,0.05507002,0.01379724,0.03519028,0.0241257,0.03975575,0.0195039,0.03301507,0.03692141,0.07899059,0.02217659,0.04282682,0.05487228,0.03866046,0.01947074,0.03883366,0.05515991,0.02617944,0.02750541,0.003944462,0.03402625,0.0290779,0.03568365,0.0269297,0.03159597,0.008102767,0.03395987,0.03036293,0.03744921,0.03171867,0.0218841,0.02537668,0.02567552,0.02510753,0.02814552,0.02536886,0.04766199,0.02403467,0.02528797,0.03006666,0.001065972,0.0228866,0.02207131,0.04434369,0.04356281,0.06437618,0.0401263,0.03980202,0.01653789,0.03457161,0.03292344,0.027356,0.0249472,0.0225003,0.05006186,0.0365818,0.02514676,0.0578425,0.08053631,0.08053432,0.03187292,0.09112836,0.07502044,0.0380274,0.08994763,0.08616314,0.04168831,0.04013868,0.01762267,0.06424385,0.05825542,0.05666017,0.05394379,0.07102593,0.09201847,0.06067648,0.04693557,0.05880136,0.04852489,0.06646655,0.07486942,0.03938558,0.05113031
cg16038120,0.03098592,0.04171988,0.04889267,0.06935001,0.1131825,0.08681943,0.06813361,0.04845268,0.05158553,0.06298003,0.04597448,0.04232521,0.07914143,0.08954144,0.06063563,0.04999387,0.07475144,0.06341128,0.04906378,0.06782721,0.1226158,0.07830843,0.04416256,0.04530177,0.05811945,0.05743802,0.07020254,0.0385051,0.07286801,0.04425887,0.03720542,0.03767972,0.0752988,0.06623932,0.05012853,0.02691829,0.04573097,0.04005105,0.09186693,0.03856877,0.07593554,0.04566745,0.03703704,0.1006931,0.05777886,0.05758559,0.03474706,0.0433814,0.05025859,0.07941783,0.06326997,0.1093144,0.05871588,0.06246521,0.04553734,0.04641404,0.03629417,0.05415837,0.09860126,0.06195607,0.07576039,0.07807411,0.04864583,0.1337682,0.09481439,0.09775335,0.1231846,0.06152186,0.1282,0.09859155,0.04717753,0.07781519,0.04946312,0.07727273,0.08471901,0.09122761,0.1249085,0.131158,0.1528979,0.08232044,0.1037399,0.05904607,0.06313416,0.1037762,0.09464445,0.1052632,0.07417548
