,slope,inter,rvalue,r2,eta_0,omega,meth_init,system_size,var_init,abs_der,saturating_std,saturating_der,saturating
cg22372849,-0.0016219641901423943,0.6493839836816129,-0.5637716617081416,0.3178384865451593,0.3553000185181239,0.007404238889438642,0.6580489837174562,108.13596139313987,57.08634611534009,0.0011512172311842963,False,False,False
cg26422861,-0.001776839346721548,0.7613844231900171,-0.6115255093561776,0.3739634485933324,0.019916915813272044,0.002752245847606421,0.7670910121378612,33.19114111488105,1.857663795928041,0.0016052155772845406,False,False,False
cg27367526,-0.0017400963651816642,0.591124332713808,-0.5482811584552074,0.3006122287169843,0.005037866945062642,0.003443399882658019,0.5953420855334194,109.83491869372403,67.80580118182255,0.0014909836674010474,False,False,False
cg00178249,0.0014625894258151356,0.13848330863347535,0.5544576299755972,0.3074232634381563,0.9564696948592465,0.0020323933224940358,0.1332546466349336,34.63042334134529,1.9833520161641771,0.0013934195886841324,False,False,False
cg04598121,0.001560304289681346,0.11231713839619864,0.5961608123157961,0.35540771414102984,0.9233285868361545,0.0022230387620066,0.10579867735364938,31.90472105977702,0.9441954038182466,0.0014878524814598787,False,False,False
cg04792712,0.001356673914734575,0.16839944442534366,0.5622052085444185,0.31607469651447306,0.9615639217656324,0.0019062222514236267,0.1649373535078236,38.92574262942464,2.095151251531462,0.0012791478899705324,False,False,False
cg08231709,0.001192371162507649,0.12042274793387298,0.5725640330528109,0.32782957194570034,0.959722809718685,0.00155394772308412,0.1175987942811944,53.25415526028741,3.1101303252792376,0.0011378213383830096,False,False,False
cg09626984,0.0014266964723290026,0.1804660211370859,0.6259954905001675,0.39187035412654525,0.968012274129365,0.002024690677678436,0.17666523896190148,47.765742241803444,2.250124775314773,0.0013353268567157656,False,False,False
cg14837598,-0.002526311065445275,0.8240592779216525,-0.7179683456359215,0.515478545335182,0.30671735027946445,0.006421309598679759,0.8383991045326469,40.64575011920413,2.6075306042121866,0.0019155294228127328,False,False,False
cg15600488,0.0010976306762968365,0.1075132663002647,0.5562808384962369,0.3094483712780764,0.9860487944642016,0.0013207435979050535,0.10664306161487161,41.14961741844223,1.2454930737454104,0.0010312989072052603,False,False,False
cg16219603,0.0014154306617632593,0.11302940500822996,0.7136331708802154,0.5092723025805507,0.9841649077966529,0.0017535832453324173,0.11138688588843892,101.98504196124847,8.729926032767088,0.0013070396166211672,False,False,False
cg17095489,-0.0017039052145073634,0.804540622065419,-0.6278912128119547,0.3942473751264674,0.5355330313969172,0.009086570264860837,0.8174113682876089,56.40286581730778,4.907814125079874,0.0011305751369048234,False,False,False
cg18715243,-0.0019028227730807563,0.7981590563846065,-0.6940001146347318,0.4816361591130208,0.055236259117456214,0.0029194131440717403,0.8026754744075268,69.50412478051068,9.251642772826317,0.001677883437836843,False,False,False
cg19162158,0.0012333461278046663,0.08931746329058954,0.5581519609825593,0.31153361154867637,0.9880077034895968,0.001499318844523225,0.08657253381183161,28.8728054335846,0.3239050246765103,0.0011809332934989802,False,False,False
cg00232500,-0.00145451781378852,0.870510585912591,-0.5863052183645932,0.34375380908155323,0.007283115076661024,0.0017253034858771801,0.8683862223732665,37.58841465428843,1.9921076457540252,0.0012719925733698715,False,False,False
cg00876267,-0.0021486415507729214,0.782455300686927,-0.7611889709763748,0.5794086495360724,0.5423477669947031,0.015566360403752465,0.8089733170209715,91.15144739043717,9.93718104092419,0.001022478647346869,False,False,False
cg01594949,-0.0019437215320555366,0.7279864647001475,-0.6200122478552126,0.38441518749047354,0.01671888505634355,0.003133342791566867,0.732601522131814,108.30489222275281,51.60343870343818,0.001691914161277143,False,False,False
cg02258201,-0.0025073862966549293,0.8650441952608288,-0.7317715558003861,0.5354896098785176,0.443548073779489,0.008302404663767703,0.8822913063859902,38.53965967232108,0.8776835422660244,0.0017254499258430678,False,False,False
cg03061960,-0.001248446254833773,0.3533209194026818,-0.5708707024637594,0.3258933589314661,0.007473095177835426,0.004352911960443508,0.35749299145709307,59.14154199664627,6.521462976809696,0.0010297516753626414,False,False,False
cg06602847,0.0013631237981137471,0.1415097431301476,0.5884606942607697,0.34628598868986715,0.9860024963328322,0.0017607256578881967,0.13907249734118682,39.70549066808322,1.630668089787754,0.0012726781847139754,False,False,False
cg12052661,0.0015799182651661536,0.2626440852646674,0.6501068596708454,0.42263892899108824,0.5143246319142044,0.008885402783724596,0.25206529019332213,80.38072859940152,8.94209749302608,0.001047390813583953,False,False,False
cg13649056,0.0017067233620666853,0.10921033537945929,0.7405987701968757,0.5484865384171247,0.9928879271488056,0.0020822068336536705,0.10814530715048704,77.33699319240164,5.261409657479826,0.0015274064904842294,False,False,False
cg13732465,-0.001485044677387821,0.6675836710279475,-0.6198514323746659,0.384215798216925,0.013787496924086488,0.002547723340230207,0.6706595326858671,67.34449288471633,8.385598409606501,0.0013306120202730273,False,False,False
cg13734401,-0.0025683165626012427,0.6342446771808137,-0.6203301476966416,0.3848094921413372,0.3618376080875546,0.017175933833529732,0.6710674738886521,31.47706289252982,4.3070019495599405,0.0011320212898755727,False,False,False
cg13790576,-0.003163695856713074,0.6995510975949001,-0.722048620006284,0.5213542096529791,0.40969037990894863,0.022777611020515485,0.7574233937521483,39.28971481082024,5.672445717375116,0.001019663625128281,False,False,False
cg14218480,-0.0015030204579870672,0.6727127535693301,-0.5539586728447818,0.30687021121995206,0.030102879465873308,0.002644538923799956,0.6763489757122798,47.47610937249353,5.970401341985119,0.0013470450387996545,False,False,False
cg14341254,-0.002086434180497985,0.625347923084912,-0.6097507285862575,0.3717959510114718,0.338586082927468,0.01107693654057836,0.6435532529820811,41.940971865625784,5.180401130836027,0.0012465624482421336,False,False,False
cg14545975,-0.0014354038517381993,0.7450464331606428,-0.5802426093486598,0.3366814857037414,0.015020252064164347,0.002155607510847444,0.7471814162390295,58.1902161165798,7.125472537279958,0.001299933742446773,False,False,False
